"Serial_No";"Year";"Month";"Day";"DISTRICT";"DIST_GN";"cnt";"ID";"PROVINCE";"OBJECTID";"DISTRICT";"GaPa_NaPa";"Serial_No";"DIST_GN";"Year";"Month";"Day";"Event";"Cause";"Dead_Peopl";"Injured_Pe";"Affected_P";"Destroyed";"Affected_H";"Farming_an";"Livestock";"Education";"Losses_Val"
"17";"2017";"4";"13";"KATHMANDU";"KATHMANDU-Budhanilakantha";"2";"3369";"5";"3040";"BARDIYA";"Madhuwan";"17";"BARDIYA-Madhuwan";"2017";"2";"28";"FIRE";"OTHER";"0";"0";"0";"0";"0";"0";"0";"0";"1500000"
"17";"2017";"4";"13";"KATHMANDU";"KATHMANDU-Budhanilakantha";"2";"8555";"6";"8227";"HUMLA";"Simkot";"17";"HUMLA-Simkot";"2000";"1";"26";"SNOW STORM";"OTHER";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17";"2017";"4";"13";"KATHMANDU";"KATHMANDU-Budhanilakantha";"2";"12916";"3";"12589";"KATHMANDU";"Budhanilakantha";"17";"KATHMANDU-Budhanilakantha";"2017";"4";"13";"FIRE";"OTHER";"0";"0";"0";"0";"0";"0";"0";"0";"1200"
"17";"2017";"4";"13";"KATHMANDU";"KATHMANDU-Budhanilakantha";"2";"12917";"3";"12590";"KATHMANDU";"Budhanilakantha";"17";"KATHMANDU-Budhanilakantha";"2017";"4";"13";"FIRE";"OTHER";"0";"0";"0";"0";"0";"0";"0";"0";"1000000"
"7251";"2007";"5";"18";"KABHREPALANCHOK";"KABHREPALANCHOK-Mandandeupur";"2";"10552";"3";"10225";"KABHREPALANCHOK";"Mandandeupur";"7251";"KABHREPALANCHOK-Mandandeupur";"2007";"5";"18";"THUNDERSTORM";;"1";"0";"0";"0";"0";"0";"0";"0";"0"
"7251";"2007";"5";"18";"KABHREPALANCHOK";"KABHREPALANCHOK-Mandandeupur";"2";"10553";"3";"10226";"KABHREPALANCHOK";"Mandandeupur";"7251";"KABHREPALANCHOK-Mandandeupur";"2007";"5";"18";"THUNDERSTORM";;"1";"0";"0";"0";"1";"0";"0";"0";"0"
"77125";"1977";"6";"21";"ARGHAKHANCHI";"ARGHAKHANCHI-Sandhikharka";"2";"781";"5";"449";"ARGHAKHANCHI";"Sandhikharka";"77125";"ARGHAKHANCHI-Sandhikharka";"1977";"6";"21";"FIRE";"OTHER";"0";"0";"0";"2";"0";"0";"0";"0";"11658"
"77125";"1977";"6";"21";"ARGHAKHANCHI";"ARGHAKHANCHI-Sandhikharka";"2";"782";"5";"450";"ARGHAKHANCHI";"Sandhikharka";"77125";"ARGHAKHANCHI-Sandhikharka";"1977";"6";"21";"FIRE";"OTHER";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"81115";"1981";"9";"28";"LALITPUR";"LALITPUR-Godawari";"2";"14148";"3";"13821";"LALITPUR";"Godawari";"81115";"LALITPUR-Godawari";"1981";"9";"28";"FLOOD";"HEAVY RAINS";"8";"0";"0";"13";"0";"0";"0";"0";"0"
"81115";"1981";"9";"28";"LALITPUR";"LALITPUR-Godawari";"2";"14149";"3";"13822";"LALITPUR";"Godawari";"81115";"LALITPUR-Godawari";"1981";"9";"28";"FLOOD";"OTHER";"8";"0";"0";"13";"0";"0";"0";"0";"0"
"81115";"1981";"9";"28";"LALITPUR";"LALITPUR-Godawari";"2";"15120";"2";"14793";"MAHOTTARI";"Jaleswor";"81115";"MAHOTTARI-Jaleswor";"2008";"8";"28";"ACCIDENT";"ELECTRIC SHOCK";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"83115";"1983";"8";"22";"GORKHA";"GORKHA-Dharche";"2";"7948";"4";"7620";"GORKHA";"Dharche";"83115";"GORKHA-Dharche";"1983";"8";"22";"EPIDEMIC";"OTHER";"20";"0";"0";"0";"0";"0";"0";"0";"0"
"83115";"1983";"8";"22";"GORKHA";"GORKHA-Dharche";"2";"7949";"4";"7621";"GORKHA";"Dharche";"83115";"GORKHA-Dharche";"1983";"8";"22";"EPIDEMIC";"OTHER";"20";"0";"0";"0";"0";"0";"0";"0";"0"
"83152";"1983";"10";"5";"JHAPA";"JHAPA-Barhadashi";"2";"9407";"1";"9079";"JHAPA";"Barhadashi";"83152";"JHAPA-Barhadashi";"1983";"10";"5";"EPIDEMIC";"OTHER";"2";"0";"3";"0";"0";"0";"0";"0";"0"
"83152";"1983";"10";"5";"JHAPA";"JHAPA-Barhadashi";"2";"9408";"1";"9080";"JHAPA";"Barhadashi";"83152";"JHAPA-Barhadashi";"1983";"10";"5";"EPIDEMIC";"OTHER";"2";"0";"3";"0";"0";"0";"0";"0";"0"
"84026";"1984";"3";"15";"LALITPUR";"LALITPUR-Godawari";"2";"14154";"3";"13827";"LALITPUR";"Godawari";"84026";"LALITPUR-Godawari";"1984";"3";"15";"LANDSLIDE";"OTHER";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"84026";"1984";"3";"15";"LALITPUR";"LALITPUR-Godawari";"2";"14155";"3";"13828";"LALITPUR";"Godawari";"84026";"LALITPUR-Godawari";"1984";"3";"15";"LANDSLIDE";"OTHER";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"84047";"1984";"4";"2";"BARA";"BARA-Nijgadh";"2";"2991";"2";"2661";"BARA";"Nijgadh";"84047";"BARA-Nijgadh";"1984";"4";"2";"FIRE";"OTHER";"0";"0";"0";"1";"0";"0";"0";"0";"22000"
"84047";"1984";"4";"2";"BARA";"BARA-Nijgadh";"2";"2992";"2";"2662";"BARA";"Nijgadh";"84047";"BARA-Nijgadh";"1984";"4";"2";"FIRE";"OTHER";"0";"0";"0";"1";"0";"0";"0";"0";"22000"
"84082";"1984";"4";"18";"JHAPA";"JHAPA-Bhadrapur";"2";"9555";"1";"9227";"JHAPA";"Bhadrapur";"84082";"JHAPA-Bhadrapur";"1984";"4";"18";"EPIDEMIC";"OTHER";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"84082";"1984";"4";"18";"JHAPA";"JHAPA-Bhadrapur";"2";"9556";"1";"9228";"JHAPA";"Bhadrapur";"84082";"JHAPA-Bhadrapur";"1984";"4";"18";"EPIDEMIC";"OTHER";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"85053";"1985";"4";"13";"JHAPA";"JHAPA-Kachankawal";"2";"9897";"1";"9570";"JHAPA";"Kachankawal";"85053";"JHAPA-Kachankawal";"1985";"4";"13";"FIRE";"OTHER";"0";"0";"252";"40";"0";"0";"0";"0";"0"
"85053";"1985";"4";"13";"JHAPA";"JHAPA-Kachankawal";"2";"9898";"1";"9571";"JHAPA";"Kachankawal";"85053";"JHAPA-Kachankawal";"1985";"4";"13";"FIRE";"OTHER";"0";"0";"252";"40";"0";"0";"0";"0";"0"
"88091";"1988";"6";"27";"BAGLUNG";"BAGLUNG-Nisikhola";"2";"1154";"4";"822";"BAGLUNG";"Nisikhola";"88091";"BAGLUNG-Nisikhola";"1988";"6";"27";"FLOOD";"HEAVY RAINS";"7";"0";"0";"32";"0";"0";"0";"0";"7000000"
"88091";"1988";"6";"27";"BAGLUNG";"BAGLUNG-Nisikhola";"2";"1155";"4";"823";"BAGLUNG";"Nisikhola";"88091";"BAGLUNG-Nisikhola";"1988";"6";"27";"LANDSLIDE";"HEAVY RAINS";"7";"0";"0";"32";"0";"0";"0";"0";"7000000"
"89079";"1989";"4";"21";"GULMI";"GULMI-Resunga";"2";"8416";"5";"8088";"GULMI";"Resunga";"89079";"GULMI-Resunga";"1989";"4";"21";"FIRE";"OTHER";"0";"0";"0";"9";"0";"0";"7";"0";"1000000"
"89079";"1989";"4";"21";"GULMI";"GULMI-Resunga";"2";"8417";"5";"8089";"GULMI";"Resunga";"89079";"GULMI-Resunga";"1989";"4";"21";"FIRE";"OTHER";"0";"0";"0";"9";"0";"0";"7";"0";"1000000"
"90102";"1990";"8";"1";"KATHMANDU";"KATHMANDU-Budhanilakantha";"2";"12712";"3";"12385";"KATHMANDU";"Budhanilakantha";"90102";"KATHMANDU-Budhanilakantha";"1990";"8";"1";"EPIDEMIC";"OTHER";"0";"0";"0";"0";"0";"0";"0";"0";"40"
"90102";"1990";"8";"1";"KATHMANDU";"KATHMANDU-Budhanilakantha";"2";"12713";"3";"12386";"KATHMANDU";"Budhanilakantha";"90102";"KATHMANDU-Budhanilakantha";"1990";"8";"1";"FIRE";"OTHER";"0";"0";"0";"0";"1";"0";"0";"0";"40"
"91352";"1991";"9";"28";"JHAPA";"JHAPA-Mechinagar";"2";"1518";"7";"1186";"BAJHANG";"Bithadchir";"91352";"BAJHANG-Bithadchir";"2009";"10";"10";"FLOOD";"RAIN";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"91352";"1991";"9";"28";"JHAPA";"JHAPA-Mechinagar";"2";"10057";"1";"9730";"JHAPA";"Mechinagar";"91352";"JHAPA-Mechinagar";"1991";"9";"28";"EPIDEMIC";"OTHER";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"91352";"1991";"9";"28";"JHAPA";"JHAPA-Mechinagar";"2";"10058";"1";"9731";"JHAPA";"Mechinagar";"91352";"JHAPA-Mechinagar";"1991";"9";"28";"EPIDEMIC";"OTHER";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"92243";"1992";"6";"22";"PALPA";"PALPA-Tinau";"2";"18717";"5";"18395";"PALPA";"Tinau";"92243";"PALPA-Tinau";"1992";"6";"22";"LANDSLIDE";"HEAVY RAINS";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"92243";"1992";"6";"22";"PALPA";"PALPA-Tinau";"2";"18718";"5";"18396";"PALPA";"Tinau";"92243";"PALPA-Tinau";"1992";"6";"22";"LANDSLIDE";"HEAVY RAINS";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"92260";"1992";"7";"13";"MUGU";"MUGU-Mugum Karmarong";"2";"17085";"6";"16760";"MUGU";"Mugum Karmarong";"92260";"MUGU-Mugum Karmarong";"1992";"7";"13";"EPIDEMIC";"OTHER";"38";"0";"0";"0";"0";"0";"0";"0";"0"
"92260";"1992";"7";"13";"MUGU";"MUGU-Mugum Karmarong";"2";"17086";"6";"16761";"MUGU";"Mugum Karmarong";"92260";"MUGU-Mugum Karmarong";"1992";"7";"13";"EPIDEMIC";"OTHER";"38";"0";"0";"0";"0";"0";"0";"0";"0"
"98039";"1998";"3";"3";"DOTI";"DOTI-K I Singh";"2";"7700";"7";"7371";"DOTI";"K I Singh";"98039";"DOTI-K I Singh";"1998";"3";"3";"THUNDERSTORM";"OTHER";"1";"2";"0";"0";"0";"0";"0";"1";"0"
"98039";"1998";"3";"3";"DOTI";"DOTI-K I Singh";"2";"7701";"7";"7372";"DOTI";"K I Singh";"98039";"DOTI-K I Singh";"1998";"3";"3";"THUNDERSTORM";"OTHER";"1";"2";"0";"0";"0";"0";"0";"1";"97000"
"99151";"1999";"5";"12";"PARSA";"PARSA-Jagarnathpur";"2";"19470";"2";"19149";"PARSA";"Jagarnathpur";"99151";"PARSA-Jagarnathpur";"1999";"5";"12";"FIRE";"OTHER";"0";"0";"0";"12";"0";"0";"0";"0";"210000"
"99151";"1999";"5";"12";"PARSA";"PARSA-Jagarnathpur";"2";"19471";"2";"19150";"PARSA";"Jagarnathpur";"99151";"PARSA-Jagarnathpur";"1999";"5";"12";"FIRE";"OTHER";"0";"0";"0";"12";"0";"0";"0";"0";"210000"
