Serial_No,cnt
5,2
16,3
17,4
99,2
401,2
500,2
683,2
1049,2
1276,2
1369,2
1857,2
1936,2
2405,2
3081,2
3255,2
3335,2
3351,2
4398,2
4659,2
5056,2
5057,2
5142,2
6427,2
7251,2
7298,2
7352,2
8247,2
8440,2
8441,2
8442,2
8443,2
8670,2
8671,2
9113,2
9203,2
9341,2
9632,2
9873,2
77039,2
77125,2
78033,2
78095,2
78119,2
78193,2
78232,2
78246,2
79041,2
79074,2
79102,2
81001,2
81002,2
81003,2
81004,2
81005,2
81006,2
81007,2
81008,2
81009,2
81010,2
81011,2
81012,2
81013,2
81014,2
81015,2
81016,2
81017,2
81018,2
81019,2
81020,2
81021,2
81022,2
81023,2
81024,2
81025,2
81026,2
81027,2
81028,2
81029,2
81030,2
81031,2
81032,2
81034,2
81035,2
81036,2
81037,2
81038,2
81039,2
81040,2
81041,2
81042,2
81043,2
81044,2
81045,2
81046,2
81047,2
81048,2
81049,2
81050,2
81051,2
81052,2
81053,2
81054,2
81055,2
81056,2
81057,2
81058,2
81059,2
81060,2
81061,2
81062,2
81063,2
81064,2
81065,2
81066,2
81067,2
81068,2
81069,2
81070,2
81071,2
81072,2
81073,2
81074,2
81075,2
81076,2
81077,2
81078,2
81079,2
81080,2
81081,2
81082,2
81083,2
81084,2
81085,2
81086,2
81087,2
81088,2
81089,2
81090,2
81091,2
81092,2
81093,2
81094,2
81095,2
81096,2
81097,2
81098,2
81099,2
81100,2
81101,2
81102,2
81103,2
81104,2
81105,2
81106,2
81107,2
81108,2
81109,2
81110,2
81111,2
81112,2
81113,2
81114,2
81115,3
81116,2
81117,2
81118,2
81119,2
81120,2
81121,2
81122,2
81123,2
81124,2
81125,2
81126,2
81127,2
81128,2
81129,2
81130,2
81131,2
81132,2
81133,2
81135,2
81137,2
81138,2
81139,2
81140,2
81141,2
81142,2
81143,2
81144,2
81145,2
81146,2
81147,2
81149,2
81151,2
81152,2
81153,2
81154,2
81156,2
81157,2
81158,2
81159,2
81160,2
81161,2
81162,2
81163,2
81164,2
81165,2
81166,2
81167,2
81168,2
81169,2
81170,2
81171,2
81172,2
81173,2
81174,2
81175,2
81176,2
81177,2
82004,2
82009,2
82070,2
83115,2
83119,2
83152,2
84026,2
84047,2
84069,2
84082,2
85053,2
86008,2
87068,2
87087,2
88091,2
88160,2
88161,2
88168,2
89079,2
89202,2
90102,2
91001,2
91002,2
91003,2
91004,2
91005,2
91006,2
91007,2
91008,2
91009,2
91010,2
91011,2
91012,2
91013,2
91014,2
91015,2
91016,2
91017,2
91018,2
91019,2
91020,2
91021,2
91022,2
91023,2
91024,2
91025,2
91026,2
91027,2
91028,2
91029,2
91030,2
91031,2
91032,2
91033,2
91034,2
91035,2
91036,2
91038,2
91039,2
91040,2
91041,2
91042,2
91043,2
91044,2
91045,2
91046,2
91047,2
91048,2
91049,2
91050,2
91051,2
91052,2
91053,2
91054,2
91055,2
91056,3
91057,2
91059,2
91060,2
91061,2
91062,2
91063,2
91064,2
91065,2
91066,2
91067,2
91069,2
91070,2
91071,2
91072,2
91073,2
91074,2
91075,2
91076,2
91077,2
91078,2
91079,2
91080,2
91081,2
91082,2
91083,2
91084,2
91085,2
91086,2
91087,2
91088,2
91089,2
91090,2
91091,2
91092,2
91093,2
91094,2
91095,2
91096,2
91097,2
91098,2
91099,2
91100,2
91101,2
91102,2
91103,2
91104,2
91105,2
91106,2
91107,2
91108,2
91109,2
91110,2
91111,2
91112,2
91114,2
91115,2
91116,3
91117,2
91118,2
91119,2
91120,2
91121,2
91122,2
91123,2
91124,2
91125,2
91126,2
91127,2
91128,2
91129,2
91130,2
91131,2
91132,2
91133,2
91134,2
91135,2
91136,3
91137,2
91138,2
91139,2
91140,2
91141,2
91142,2
91143,2
91144,2
91145,2
91146,2
91147,2
91148,2
91149,2
91150,2
91151,2
91152,2
91153,2
91154,2
91155,2
91156,2
91157,2
91158,2
91159,2
91160,2
91161,2
91162,2
91163,2
91164,2
91165,2
91166,2
91167,2
91168,2
91169,2
91170,2
91171,2
91172,2
91173,2
91174,2
91175,2
91176,2
91177,2
91179,2
91180,2
91181,2
91182,2
91183,2
91184,2
91185,2
91186,2
91187,2
91188,2
91189,2
91190,2
91191,2
91193,2
91194,2
91195,2
91196,2
91197,2
91198,2
91199,2
91200,2
91201,2
91202,2
91203,2
91204,2
91205,2
91206,2
91207,2
91208,2
91209,2
91210,2
91211,2
91212,2
91213,2
91214,2
91215,2
91216,2
91217,2
91218,3
91219,2
91220,2
91221,2
91222,2
91223,2
91224,3
91225,2
91226,2
91227,2
91228,2
91229,2
91230,2
91231,2
91232,2
91233,2
91234,2
91235,2
91236,2
91237,2
91238,2
91240,2
91243,3
91244,2
91245,2
91246,2
91247,2
91248,2
91249,2
91250,2
91251,2
91252,2
91253,2
91254,2
91255,2
91256,2
91257,2
91258,2
91259,2
91260,2
91261,2
91262,2
91263,2
91264,2
91265,2
91266,2
91267,2
91268,2
91269,2
91270,2
91271,2
91272,2
91273,2
91274,2
91275,2
91276,2
91277,2
91278,2
91279,2
91280,2
91281,2
91282,2
91283,2
91285,2
91286,2
91287,2
91288,2
91289,2
91290,2
91292,2
91293,2
91294,2
91295,2
91296,2
91297,2
91298,2
91299,2
91300,2
91301,2
91302,2
91303,2
91304,2
91305,2
91306,2
91307,2
91308,2
91309,2
91310,2
91311,2
91312,2
91313,2
91314,2
91315,2
91316,2
91317,2
91318,2
91319,2
91320,2
91321,2
91322,2
91323,2
91324,2
91325,2
91326,2
91327,2
91328,2
91329,2
91330,2
91331,2
91332,2
91333,2
91334,2
91335,2
91336,2
91337,2
91338,2
91339,2
91340,2
91341,2
91342,2
91343,2
91344,2
91345,2
91346,2
91347,2
91348,2
91349,2
91350,2
91351,3
91352,3
91353,2
91354,2
91355,3
91356,2
91357,2
91358,2
91359,2
91360,2
91361,2
91362,3
91363,2
91364,2
91365,2
91366,2
91367,2
91368,2
91369,2
91370,2
91371,2
91372,2
91373,2
91374,2
91375,2
91376,2
91377,2
91378,2
91379,2
91380,2
91381,2
91382,2
91383,2
91384,3
91385,2
91386,2
91388,2
91389,2
91390,2
91391,2
91392,2
91393,2
91395,2
91396,2
91397,2
91398,2
91399,2
91400,2
91401,2
91402,2
91403,2
91404,2
91405,2
91406,2
91407,2
91408,2
91409,2
91410,2
91423,2
91570,2
91576,2
91597,2
92104,2
92243,2
92260,2
93002,2
93298,2
93309,2
94146,2
